Date,Open,High,Low,Close,Adj Close,Volume
2021-04-14,142.570007,142.720001,141.240005,142.110001,140.118896,4685300
2021-04-15,141.669998,143.100006,141.419998,142.309998,140.316086,4777100
2021-04-16,143.460007,144.320007,142.460007,144.160004,142.140167,6481400
2021-04-19,144.490005,145.600006,143.259995,144.750000,142.721893,6621200
2021-04-20,144.130005,146.649994,143.929993,145.710007,143.668457,4999700
2021-04-21,147.350006,147.800003,146.210007,146.979996,144.920654,6316000
2021-04-22,146.240005,146.649994,145.380005,146.070007,144.023422,4904400
2021-04-23,145.509995,146.339996,145.059998,145.830002,143.786774,4354700
2021-04-26,145.550003,145.770004,142.979996,143.360001,141.351379,5817700
2021-04-27,142.619995,143.179993,142.130005,142.889999,140.887955,4693700
2021-04-28,143.490005,143.690002,141.729996,141.830002,139.842819,4962700
2021-04-29,142.100006,144.429993,141.970001,143.940002,141.923248,4699900
2021-04-30,143.320007,144.240005,142.500000,144.160004,142.140167,5051100
2021-05-03,145.029999,146.779999,144.100006,145.789993,143.747330,6109800
2021-05-04,145.979996,146.770004,143.490005,143.960007,141.942963,6603800
2021-05-05,143.720001,144.570007,143.500000,143.889999,141.873947,5305200
2021-05-06,144.470001,145.960007,144.009995,145.559998,143.520554,4472200
2021-05-07,145.229996,146.000000,144.570007,145.559998,143.520554,4181000
2021-05-10,146.490005,147.990005,146.110001,146.720001,144.664307,5270600
2021-05-11,147.169998,147.639999,145.020004,145.649994,143.609283,5266100
2021-05-12,144.880005,145.740005,143.850006,144.229996,142.209183,5651700
2021-05-13,144.240005,147.119995,143.580002,146.369995,144.319199,4849400
2021-05-14,147.199997,147.899994,146.419998,146.589996,144.536102,4224700
2021-05-17,147.000000,147.399994,145.710007,146.169998,144.121994,3747100
2021-05-18,146.639999,146.949997,145.320007,145.509995,143.471252,4527300
2021-05-19,144.639999,145.630005,144.080002,145.429993,143.392365,4432700
2021-05-20,145.250000,147.729996,145.110001,147.229996,145.167145,3964600
2021-05-21,147.869995,148.309998,146.520004,147.100006,145.038986,5194200
2021-05-24,147.639999,148.350006,147.009995,147.850006,145.778458,3627800
2021-05-25,147.850006,148.369995,147.009995,148.300003,146.222168,4649300
2021-05-26,147.910004,148.669998,147.679993,148.300003,146.222168,4462600
2021-05-27,148.559998,148.770004,146.440002,146.509995,144.457230,9203600
2021-05-28,147.410004,148.500000,147.240005,147.940002,145.867218,4913700
2021-06-01,148.779999,148.850006,147.089996,147.630005,145.561554,5530300
2021-06-02,148.199997,148.529999,147.229996,148.220001,146.143280,4546900
2021-06-03,146.710007,147.759995,146.160004,147.669998,146.664703,4651600
2021-06-04,148.000000,148.589996,147.470001,147.839996,146.833542,4427400
2021-06-07,147.759995,148.250000,146.710007,147.750000,146.744171,4724100
2021-06-08,147.699997,147.869995,145.919998,146.369995,145.373550,5997200
